-0.45843,0.50767,-0.90301,0.36827
-0.00026,0.00016,-1.59462,0.11334
4.62786,3.60777,1.28275,0.20197
-0.02335,1.06831,-0.02186,0.98260
1.82300,1.49800,1.21695,0.22593
-0.10112,0.04976,-2.03217,0.04427
-0.84823,0.26803,-3.16463,0.00195
6.44041,2.67021,2.41195,0.01733
2.59818,1.82864,1.42083,0.15788
-0.39331,2.18401,-0.18008,0.85738
0.02626,0.00646,4.06631,0.00008
0.87653,0.61678,1.42115,0.15778
-0.00000,0.00000,-0.71976,0.47303
0.81202,0.18813,4.31632,0.00003
-1.27880,2.41166,-0.53026,0.59688
0.19721,0.13049,1.51127,0.13326
