1,0,1009,0.0358,0.0175,0.0000,3,0.4035,0.01388,0.00793,0.01883,17.702,0.4995,54333,0.0588,0.0188,-0.61702,0.11397,0.00000,0.00000,4,2,2,1
2,0,1083,0.0352,0.0000,0.0000,1,0.5526,0.01293,0.00000,0.02955,28.500,0.4783,83,0.0577,0.0139,-0.86842,0.21699,0.00277,0.02857,5,5,0,0
3,1,64,0.0264,0.0000,0.0000,2,0.2500,0.00000,0.00000,0.04688,16.000,0.8594,17500,0.0714,0.0000,-1.00000,0.17188,0.00000,0.00000,0,0,0,1
4,0,571,0.0282,0.0000,0.0000,0,0.1765,0.01226,0.01401,0.01926,16.794,0.5972,0,0.0217,0.0035,-0.55172,0.14011,0.00175,0.02439,2,0,2,0
5,0,736,0.0250,0.0000,0.0000,1,0.0400,0.00136,0.00000,0.04212,29.440,0.5476,13600,0.1053,0.0489,-0.72000,0.29755,0.00000,0.00000,8,7,1,1
6,0,1384,0.0332,0.0000,0.0000,2,0.0109,0.00650,0.00145,0.02818,15.043,0.4574,8500,0.1222,0.0094,-0.72222,0.15173,0.00000,0.00000,5,2,3,1
7,0,751,0.0258,0.0000,0.0000,1,0.0345,0.00666,0.00533,0.01065,25.897,0.5433,9390,0.0563,0.0253,-0.72414,0.24634,0.00133,0.01587,12,6,6,3
8,0,785,0.0246,0.0000,0.0000,1,0.0238,0.02548,0.00000,0.08025,18.690,0.5452,4530,0.0769,0.0153,-0.82927,0.16433,0.00382,0.07317,4,4,0,1
9,1,491,0.0369,0.0000,0.0000,0,0.0323,0.02444,0.00000,0.01222,15.839,0.6008,0,0.1222,0.0163,-0.75000,0.27902,0.00204,0.02439,0,0,0,1
10,1,432,0.0455,0.0000,0.0000,1,0.0714,0.00463,0.00000,0.01157,30.857,0.5972,48600000,0.1556,0.0116,-0.50000,0.25000,0.00000,0.00000,0,0,0,0
11,1,320,0.0383,0.0000,0.0000,1,0.0588,0.00625,0.00000,0.02500,18.824,0.6656,45300000,0.1385,0.0031,-1.07143,0.15313,0.00000,0.00000,0,0,0,0
12,1,714,0.0246,0.0294,0.0000,1,0.0294,0.00000,0.00000,0.02381,21.000,0.5308,51200000,0.8252,0.0014,-0.81818,0.30252,0.00000,0.00000,6,0,6,3
13,1,710,0.0110,0.0313,0.0000,1,0.0313,0.01127,0.00000,0.01690,22.188,0.5423,52500000,0.7955,0.0099,-0.56250,0.36056,0.00141,0.01031,4,0,4,1
14,0,347,0.0175,0.0714,0.0000,1,0.0714,0.00576,0.00000,0.02594,24.786,0.5850,103000,0.0159,0.0086,-0.71429,0.17867,0.00000,0.00000,1,1,0,1
15,0,685,0.0239,0.0000,0.0000,1,0.0286,0.00146,0.00876,0.03942,19.571,0.6044,17100,0.0417,0.0029,-0.72727,0.11387,0.00000,0.00000,6,2,4,2
16,0,1008,0.0253,0.0000,0.0000,1,0.0213,0.01190,0.00397,0.05357,21.447,0.5377,19600,0.0800,0.0030,-0.42500,0.16865,0.00198,0.02778,6,5,1,1
17,0,247,0.0301,0.0000,0.0000,0,0.3333,0.00000,0.00000,0.02024,20.583,0.6518,0,0.0526,0.0040,-0.83333,0.06883,0.00000,0.00000,1,0,1,1
