newsId,isFake,words,uppercases,questions,exclamations,authors,citations,firstperson,secondperson,thirdperson,sentencelength,repetitiveness,authorHits,sentiment
64,0,329,0.044,0,0,1,7,0.00608,0.00608,0.03951,18.28,0.602,3370,-0.72222
65,0,396,0.040,0,0,1,1,0.00505,0.01010,0.00758,23.29,0.553,28200,-0.92308
66,0,207,0.034,0,0,1,1,0.00000,0.00000,0.02415,15.92,0.691,29300,-0.88889
67,0,899,0.029,1,0,1,1,0.01224,0.00000,0.02447,12.49,0.538,4240000,-0.72727
68,0,160,0.028,0,0,0,1,0.00000,0.00000,0.03125,17.78,0.688,0,-0.57143
69,1,239,0.046,0,0,1,1,0.01255,0.00000,0.01255,18.38,0.632,25100,0.07692
70,1,176,0.061,0,0,1,1,0.00000,0.00000,0.02273,17.60,0.665,216000,-0.37500
71,1,184,0.042,0,0,1,1,0.00000,0.00000,0.03804,18.40,0.745,99,-0.20000
72,1,153,0.044,1,0,1,1,0.00654,0.00000,0.04575,15.30,0.732,52600000,-0.60000
73,1,131,0.063,0,0,1,1,0.03053,0.01527,0.04580,16.38,0.748,54800000,-0.75000
74,0,622,0.021,0,0,1,5,0.00000,0.00000,0.01929,22.21,0.587,43700,-0.67857
75,0,459,0.041,3,0,0,4,0.02614,0.00000,0.02179,21.86,0.556,0,-0.80952
76,0,579,0.049,1,0,2,14,0.04836,0.00000,0.01900,19.30,0.271,9350,-0.61538
77,0,1170,0.041,0,0,2,17,0.00855,0.00000,0.01709,19.83,0.490,8100,-0.87037
78,0,300,0.031,0,0,1,11,0.01333,0.04000,0.03000,15.00,0.617,27,-0.10526
79,0,805,0.042,1,0,3,4,0.00248,0.00497,0.01739,23.68,0.550,32,-0.96774
80,0,718,0.036,0,0,3,7,0.00696,0.00000,0.03621,21.12,0.538,0,-0.65517
81,0,411,0.036,2,0,1,5,0.00487,0.00973,0.01460,16.44,0.552,89,-0.85000
82,0,555,0.029,0,0,1,4,0.00000,0.00000,0.04865,17.90,0.568,15300,-0.64286
83,0,1057,0.031,2,0,2,21,0.01135,0.00000,0.04920,20.73,0.501,4205,-0.83673
84,0,705,0.022,0,0,0,1,0.01418,0.01135,0.01702,23.50,0.516,0,-1.05000
85,1,533,0.028,0,0,0,1,0.00000,0.00000,0.00375,33.31,0.604,0,-1.16667
86,1,403,0.035,0,0,0,1,0.00000,0.00000,0.00744,36.64,0.658,0,-1.00000
87,1,293,0.034,0,0,0,1,0.00000,0.00000,0.00683,41.86,0.628,0,-0.87500
88,1,850,0.039,1,1,1,1,0.01882,0.01176,0.03647,17.71,0.505,1,-0.86364
89,1,231,0.046,0,0,0,1,0.00433,0.00000,0.02165,17.77,0.606,0,-0.66667
90,1,236,0.032,0,0,0,1,0.00000,0.02542,0.00424,18.15,0.653,0,-0.87500
91,1,702,0.027,4,0,0,1,0.00997,0.00000,0.02991,20.65,0.507,0,-0.82759
92,1,231,0.036,0,0,0,1,0.00000,0.00000,0.01299,25.67,0.628,0,-1.00000
93,1,432,0.025,0,0,1,1,0.02315,0.00000,0.03009,24.00,0.567,15900,-0.47059
94,1,108,0.026,0,0,0,1,0.00000,0.05556,0.01852,36.00,0.787,0,0.00000
95,1,165,0.027,0,0,0,1,0.00000,0.00000,0.01212,41.25,0.745,0,-1.50000
96,1,498,0.028,0,0,0,1,0.00201,0.00402,0.05221,31.13,0.594,0,-0.87500
