-7.37451,4.08696,-1.80440,0.07117
-0.00254,0.00135,-1.88064,0.06002
35.60956,28.94826,1.23011,0.21866
1.68192,7.05848,0.23828,0.81166
14.87684,12.24277,1.21515,0.22431
-1.23116,0.47257,-2.60525,0.00918
-4.86254,2.19205,-2.21826,0.02654
32.15320,15.65164,2.05430,0.03995
24.68483,18.87797,1.30760,0.19101
9.78369,16.90952,0.57859,0.56287
0.21770,0.06365,3.42042,0.00063
4.92410,4.93377,0.99804,0.31826
0.00000,0.00000,1.13045,0.25829
15.46418,4.45619,3.47027,0.00052
-20.61600,18.63100,-1.10654,0.26849
0.85743,1.09972,0.77968,0.43558
-2.20199,3.08448,-0.71389,0.47529
