904;0,0406;0,027;0;2;0,027;0,00885;0,00221;0,01991;24,432;0,542;3960;0,1167;0,0022;-0,56757;0,4115;0,00332;0,03947;0,00111;0,00885;0,00332;0,00442;0;60
396;0,0397;0;0;1;0,0769;0,00505;0,0101;0,00758;30,462;0,553;31600;0,125;0,0126;-0,92308;0,15657;0,00253;0,03333;0,00253;0,0101;0,00505;0,00505;0;65
207;0,0342;0;0;1;0,1111;0;0;0,02415;23;0,6908;32800;0,1739;0,0242;-0,88889;0,19324;0;0;0,00483;0,00483;0,00483;0,00483;0;66
899;0,0288;0,0182;0;1;0,0182;0,01224;0;0,02447;16,345;0,5384;8100000;0,1111;0,0345;-0,72727;0,1802;0,00222;0,02778;0,00111;0,00111;0;0,00111;0;67
239;0,0464;0;0;1;0,0769;0,01255;0;0,01255;18,385;0,6318;36300;0,1389;0,0167;0,07692;0,22594;0,00418;0,03846;0;0;0;0,00418;1;69
131;0,0634;0;0;1;0,125;0,03053;0,01527;0,0458;16,375;0,7481;5,41E+07;0,1566;0,0534;-0,75;0,12977;0;0;0;0,01527;0;0,00763;1;73
622;0,0212;0;0;1;0,1786;0;0;0,01929;22,214;0,5868;22400;0,0513;0,0113;-0,67857;0,27974;0,00161;0,01333;0,00161;0,01608;0;0,00161;0;74
1170;0,0408;0;0;2;0,3148;0,00855;0;0,01709;21,667;0,4897;9350;0,0588;0,0385;-0,87037;0,2547;0;0;0;0,00513;0;0,00513;0;77
805;0,0417;0,0323;0;3;0,129;0,00248;0,00497;0,01739;25,968;0,5503;35;0,0482;0,0124;-0,96774;0,2795;0,00248;0,03448;0,00124;0,01615;0,00248;0,00124;0;79
718;0,0362;0;0;3;0,2414;0,00696;0;0,03621;24,759;0,5376;0;0,0761;0,0181;-0,65517;0,24791;0,00279;0,04082;0,00139;0,01253;0,00418;0,00696;0;80
411;0,0362;0,1;0;1;0,25;0,00487;0,00973;0,0146;20,55;0,5523;11600;0,058;0,0049;-0,85;0,33333;0,00487;0,0625;0,00243;0,00487;0,0073;0,00243;0;81
1057;0,0306;0,0408;0;2;0,4286;0,01135;0;0,0492;21,571;0,5014;4055;0,0484;0,0303;-0,83673;0,11921;9,50E-04;0,01786;9,50E-04;0,00851;0,00378;9,50E-04;0;83
533;0,0278;0;0;0;0,0833;0;0;0,00375;44,417;0,6041;0;0,0381;0;-116,667;0,24765;0;0;0;0,00938;0;0,00188;1;85
403;0,0346;0;0;0;0,0909;0;0;0,00744;36,636;0,6576;0;0,125;0,0074;-1;0,14144;0;0;0,00248;0,00744;0;0,00248;1;86
293;0,0342;0;0;0;0,125;0;0;0,00683;36,625;0,628;0;0,0593;0;-0,875;0,34812;0;0;0,00341;0;0;0,00341;1;87
850;0,0388;0,0227;0,0227;1;0,0227;0,01882;0,01176;0,03647;19,318;0,5047;1;0,0723;0,0282;-0,86364;0,18471;0;0;0,00118;0,00353;0;0,00118;1;88
432;0,025;0;0;1;0,0588;0,02315;0;0,03009;25,412;0,5671;12700;0,0741;0;-0,47059;0,13657;0,00231;0,0625;0,00231;0,00231;0,00231;0,00231;1;93
165;0,0267;0;0;0;0,25;0;0;0,01212;41,25;0,7455;0;0,0757;0,0909;-1,5;0,06667;0;0;0,00606;0,00606;0,00606;0,00606;1;95
138;0,0421;0;0;0;0,1111;0;0;0,02899;15,333;0,7101;0;0,0791;0;-0,66667;0,15942;0;0;0,00725;0,00725;0;0,00725;1;98
1017;0,0203;0;0,2308;0;0,0256;0,00885;0,0295;0,00197;26,077;0,5093;0;0,0662;0,001;-0,87179;0,51327;0,00393;0,03846;9,80E-04;9,80E-04;9,80E-04;9,80E-04;1;99
1289;0,0342;0;0;2;0,4255;0,00698;0,0031;0,05043;27,426;0,4282;7300;0,1158;0,0225;-0,93617;0,16524;0,00155;0,025;7,80E-04;0,00698;0,00233;0,00233;1;101
374;0,0214;0,05;0;1;0,25;0,00267;0,02139;0,0107;18. Juli;0,6283;11300;0,0182;0,0107;-0,55;0,06952;0,00535;0,09091;0,00267;0;0;0,00267;0;103
187;0,0402;0;0;0;0,0833;0,0107;0,02139;0,02139;15,583;0,6684;0;0,16;0,016;-0,25;0,15508;0,00535;0,11111;0;0;0;0,00535;1;106
237;0,0127;0;0;1;0,0667;0;0,02532;0;15. Aug;0,6245;21;0,4074;0;-0,2;0,10127;0;0;0,00422;0;0,00422;0,00422;1;109
913;0,0322;0;0;2;0,0952;0;0,00438;0,00657;21,738;0,5104;2770;0,1528;0,0011;-0,61905;0,36145;0,00219;0,025;0,01862;0,0011;0,01752;0,0011;0;114
488;0,0328;0;0;1;0,1176;0;0;0,01025;28,706;0,4775;20300;0,039;0;-0,94118;0,21721;0;0;0,00205;0;0,00205;0,00205;0;115
209;0,0177;0;0;1;0,0833;0,00957;0,00957;0,02392;17,417;0,6507;5,34E+07;0,1667;0;-0,75;0,17225;0;0;0;0;0;0,00957;1;116
567;0,0189;0,0357;0,0714;1;0,0357;0,03175;0,02998;0,03175;20,25;0,5626;5,30E+07;0,2124;0,0018;-0,46429;0,13757;0,00529;0,08333;0;0;0;0,00176;1;122
